Market	Symbol	Description
XTSE	AZ.WT	Armistice Resources Corp Wts
XTSE	AZC	Augusta Resource Corporation
XTSE	AZH	Azimuth Resources Ltd
XTSE	AZP.PR.A	Atlantic Power Pref Equity Ser 1
XTSE	AZP.PR.B	Atlantic Power Pref Equity Ser 2
XTSE	AZR	Azumah Resources Limited
XTSE	BA	Bell Aliant Inc
XTSE	BAA	Banro Corp.
XTSE	BAB.UN	Build America Investment Grade Bond Fund
XTSE	BAD	Badger Daylighting Ltd.
XTSE	BAF.PR.A	Bell Aliant Preferred Equity Inc
XTSE	BAF.PR.C	Bell Aliant Preferred Equity Inc.
XTSE	BAJ	Baja Mining Corp.
XTSE	BAM.A	Brookfield Asset Management Inc. Cl.A Lv
XTSE	BAM.PF.A	Brookfield Asset Mgmt Inc Pref Ser 32
XTSE	BAM.PF.B	Brookfield Asset Mgmt Inc Pref Ser 34
XTSE	BAM.PF.C	Brookfield Asset Mgmt Inc Pref Ser 36
XTSE	BAM.PR.B	Brookfield Asset Mgmt Inc.Pr. Ser 2
XTSE	BAM.PR.C	Brookfield Asset Mgmt Inc. Pr. Ser 4
XTSE	BAM.PR.E	Brookfield Asset Mgmt Inc. Pr. Ser 8
XTSE	BAM.PR.G	Brookfield Asset Mgmt Inc. Pr Ser 9
XTSE	BAM.PR.J	Brookfield Asset Mgmt Inc. Pr. Ser 12
XTSE	BAM.PR.K	Brookfield Asset Mgmt Inc. Pr. Ser 13
XTSE	BAM.PR.M	Brookfield Asset Mgmt Incprf A Ser 17
XTSE	BAM.PR.N	Brookfield Asset Mgmt Pref Shs Ser 18
XTSE	BAM.PR.O	Brookfield Asset Mgmt Inc. Pr. Ser 21
XTSE	BAM.PR.P	Brookfield Asset Mgmt Inc. Pr. Ser 22
XTSE	BAM.PR.R	Brookfield Asset Mgmt Pref Ser 24
XTSE	BAM.PR.T	Brookfield Asset Mgmt Pref Ser 26
XTSE	BAM.PR.X	Brookfield Am Pref Ser 28
XTSE	BAM.PR.Z	Brookfield Asset Mgmt Inc Pr Ser 30
XTSE	BAN	Bannerman Resources Limited
XTSE	BAU	Bauer Performance Sports Ltd
XTSE	BBD.A	Bombardier Inc. Cl. A Mv
XTSE	BBD.B	Bombardier Inc. Cl. B Sv
XTSE	BBD.PR.B	Bombardier 2 Pr
XTSE	BBD.PR.C	Bombardier Inc. Preferred Class C
XTSE	BBD.PR.D	Bombardier Inc. Preferred[Series 3 ]
XTSE	BBL.A	Brampton Brick Ltd. Cl.A Sv
XTSE	BBO	Big Bank Big Oil Split Corp.
XTSE	BBO.PR.A	Big Bank Big Oil Split Corp. Prf. Cl. A
XTSE	BCB	Cott Corp
XTSE	BCE	Bce Inc.
XTSE	BCE.PR.A	Bce First Pr Shares Series Aa
XTSE	BCE.PR.B	Bce Inc. First Pr Shares Series Ab
XTSE	BCE.PR.C	Bce Inc Pr Shares Series AC
XTSE	BCE.PR.D	Bce Inc. Preferred Shares Series Ad
XTSE	BCE.PR.E	Bce 1St Pref Shares Series Ae
XTSE	BCE.PR.F	Bce 1St Pref Shares Series Af
XTSE	BCE.PR.G	Bce 1St Pref Shares Series Ag
XTSE	BCE.PR.H	Bce 1St Pref Shares Series Ah
XTSE	BCE.PR.I	Bce 1St Pref Shares Series Ai
XTSE	BCE.PR.J	Bce Inc Preferred Sh Series Aj
XTSE	BCE.PR.K	Bce Inc Pref Series Ak
XTSE	BCE.PR.R	Bce Inc Ser R
XTSE	BCE.PR.S	Bce Inc Ser S
XTSE	BCE.PR.T	Bce Inc. First Preferred Series T
XTSE	BCE.PR.Y	Bce Inc Ser Y Pr
XTSE	BCE.PR.Z	Bce Inc Series Z
XTSE	BCI	Benvest New Look Income Fd
XTSE	BDI	Black Diamond Group Ltd
XTSE	BDT	Bird Construction Inc.
XTSE	BEI.UN	Boardwalk Real Estate Investment Trust
XTSE	BEK.B	Becker Milk Company Ltd. [The] Cl.B Nv
XTSE	BEP.UN	Brookfield Renewable Energy Partners Lp
XTSE	BEV	Bennett Env J
XTSE	BEZ	Besra Gold Inc
XTSE	BHY.UN	Brookfield High Yield Strategic
XTSE	BI.UN	Bloom Inc And Growth CAD Fund
XTSE	BIG.A	Big 8 Split Inc.
XTSE	BIG.PR.B	Big 8 Split Inc Cls B Srs 1
XTSE	BIG.PR.C	Big 8 Split Inc. Cl C Ser 1 Pref
XTSE	BIN	Progressive Waste Solutions Ltd
XTSE	BIP.UN	Brookfield Infra Partners Lp Units
XTSE	BIR	Birchcliff Energy Ltd.
XTSE	BIR.PR.A	Birchcliff Energy Ltd Pref Sh A
XTSE	BIR.WT	Birchcliff Energy Ltd Wts
XTSE	BK	Canadian Banc Recovery Corp. Cl. A
XTSE	BK.PR.A	Canadian Banc Recovery Corp. Pref. A
XTSE	BK.WT	Canadian Banc Corp Wts
XTSE	BKI	Black Iron Inc
XTSE	BKL	Powershares Senior Loan CAD Hd
XTSE	BKP	C.A. Bancorp Inc.
XTSE	BKX	Bnk Petroleum Inc.
XTSE	BLB.UN	Bloom Select Income Fund
XTSE	BLD	Ballard Power
XTSE	BLS	Boliden Ab
XTSE	BLU	Bellus Health Inc.
XTSE	BLX	Boralex Inc.
XTSE	BLX.DB	Boralex Inc 6.75 Pct Debs
XTSE	BMO	Bank Of Montreal
XTSE	BMO.PR.H	Bk Of Mtl Cl B 5P
XTSE	BMO.PR.J	Bmo Non-Cum Cl B Prf Share Series 13
XTSE	BMO.PR.K	Bmo Non-Cumulative Cl B Pr Share Sr 14
XTSE	BMO.PR.L	Bmo Non-Cumulative Cl B Pr Share Srs 15
XTSE	BMO.PR.M	Bmo Cl B Pref Shares Ser 16
XTSE	BMO.PR.N	Bmo Cl. B Pref Shares Ser 18
XTSE	BMO.PR.O	Bmo Cl B Pref Shares Series 21
XTSE	BMO.PR.P	Bmo Non-Cumulative Cl. B Pref. Sr 23
XTSE	BMO.PR.Q	Bank Of Montreal B Pref Sh Ser 25
XTSE	BNA.PR.B	Bam Split Corp. Cl A Ser 1
XTSE	BNA.PR.C	Bam Split Corp Cl Aa Prf Shrs Ser 3
XTSE	BNA.PR.D	Bam Split Corp Cl Aa Pref Shares Ser 4
XTSE	BNA.PR.E	Bam Split Corp Class Aa Ser 5
XTSE	BNC	Bioniche Life J
XTSE	BNE	Bonterra Energy Corp
XTSE	BNG	Bengal Energy Ltd.
XTSE	BNK	Bankers Petroleum Ltd.
XTSE	BNP	Bonavista Energy Corporation
XTSE	BNS	Bank Of Nova Scotia
XTSE	BNS.PR.J	Bk Of N S Ser 12 P
XTSE	BNS.PR.K	Bns Preferred Ser. 13
XTSE	BNS.PR.L	Bns Non-Cum Prf Shrs Ser 14
XTSE	BNS.PR.M	Bank Of Nova Scotia Non-Cum. Pref Srs 15
XTSE	BNS.PR.N	Bns Pref Shares Series 16
XTSE	BNS.PR.O	Bns Pref Shares Series 17
XTSE	BNS.PR.P	Bank Of Nova Scotia Non-Cum Pref Srs 18
XTSE	BNS.PR.Q	Bns Pref Sharesseries 20
XTSE	BNS.PR.R	Bns Non Cum Pref Series 22
XTSE	BNS.PR.T	Bns Pref. Shares Series 26
XTSE	BNS.PR.X	Bns Pref Series 28
